Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
02-Jan-06,4566.95,4601.35,4542,4556.25,18711186,944.31
03-Jan-06,4531.45,4605.45,4531.45,4600.25,12127672,557.23
04-Jan-06,4619.55,4707.6,4616.05,4694.15,25290852,838.26
05-Jan-06,4714.2,4782.65,4670.55,4760.45,33755180,960.96
06-Jan-06,4767.25,4802.8,4703.1,4755.6,18837880,543.2
09-Jan-06,4758.1,4777.05,4676.1,4695.6,12860887,468.16
10-Jan-06,4698.8,4724.85,4617.6,4629.1,18880798,586.84
12-Jan-06,4629.65,4659,4592,4635.35,18262807,565.89
13-Jan-06,4634.25,4672.15,4589.45,4602.55,11555785,387.8
16-Jan-06,4602.95,4615.95,4533.8,4558.15,11354317,395.97
17-Jan-06,4556.35,4604.6,4491.9,4504.05,8803466,321.19
18-Jan-06,4442.8,4493.55,4385.65,4441.75,18435647,574.99
19-Jan-06,4447.65,4513.6,4447.65,4489,12815027,449.46
20-Jan-06,4550.8,4553.8,4490.9,4509.4,14985173,501.81
23-Jan-06,4510.85,4529.35,4462.15,4491.7,11705682,365.54
24-Jan-06,4494.85,4546.35,4484.2,4492.3,16193109,548.71
25-Jan-06,4493.2,4577.05,4477.3,4494.95,29611698,1109.23
27-Jan-06,4564.05,4676.6,4564,4666.9,19500148,676.76
30-Jan-06,4574.05,4668.4,4566.3,4601.8,10961856,501.5
31-Jan-06,4629.05,4632.05,4595.45,4617.6,9754171,418.26
01-Feb-06,4622.3,4645.4,4469.55,4483.8,11681721,425.17
02-Feb-06,4542.15,4542.15,4426.85,4441.05,13196984,493.51
03-Feb-06,4444.6,4444.6,4382.2,4397.9,10536850,343.96
06-Feb-06,4421.6,4506.95,4421.6,4481.65,17479102,721.17
07-Feb-06,4483.6,4597.4,4482.55,4578.1,19135817,704.08
08-Feb-06,4580,4580,4501.75,4563.85,12821119,456.87
10-Feb-06,4564.3,4597.5,4557.15,4581.85,24810684,684.08
13-Feb-06,4584.05,4629.45,4584.05,4611,20925535,519.43
14-Feb-06,4611,4619.9,4526.75,4540,15563535,449.03
15-Feb-06,4360.3,4578.2,4360.3,4515.8,11620657,323.51
16-Feb-06,4542.05,4569.9,4479.35,4548.1,13486176,328.16
17-Feb-06,4545.75,4576.15,4442.05,4452.3,11720550,362.74
20-Feb-06,4460.65,4471.6,4392.75,4449.3,9124930,302.02
21-Feb-06,4450.05,4486.8,4450.05,4466.6,7570087,239.08
22-Feb-06,4467.3,4487.65,4436,4452.1,8274296,264.31
23-Feb-06,4462.5,4478.35,4378.1,4394.9,17434119,574.09
24-Feb-06,4406.6,4508.1,4398,4497.75,15692969,501.44
27-Feb-06,4502.9,4566.95,4502.9,4560.05,13006063,402.28
28-Feb-06,4565.05,4613.4,4515.05,4579.05,19474844,717.19
01-Mar-06,4521.7,4585.8,4500.65,4572.7,8895499,361.52
02-Mar-06,4579.8,4686.4,4560.9,4656.35,16025731,598.31
03-Mar-06,4660.8,4682.75,4612.7,4624,13692000,385.23
06-Mar-06,4624.85,4661.05,4624.85,4634.45,9179841,260
07-Mar-06,4638.95,4643.45,4562.25,4621.8,14024996,510.29
08-Mar-06,4635.55,4640.3,4538.9,4555.35,12896889,480.7
09-Mar-06,4555.65,4595.25,4491.1,4587.35,13050588,466.51
10-Mar-06,4594.95,4683.45,4594.95,4656.05,14811618,572.29
13-Mar-06,4660.95,4699.65,4648.9,4666.3,11356447,415.73
14-Mar-06,4740.7,4785.05,4650.45,4688,22619015,994.04
16-Mar-06,4697.8,4738.35,4688.9,4710.5,8053841,397.67
17-Mar-06,4717.7,4744.4,4686.15,4701.15,8341254,372.01
20-Mar-06,4707,4730.7,4697.2,4707.95,6129748,267.72
21-Mar-06,4711.4,4744.25,4644.6,4661.85,9573462,409.9
22-Mar-06,4666.7,4666.7,4592.7,4607.45,11206852,421.19
23-Mar-06,4621.95,4664,4594.85,4626,8942216,502.89
24-Mar-06,4627.15,4680.3,4627.15,4662.9,7739551,353.36
27-Mar-06,4709.25,4731.8,4689.75,4702.35,12435766,505.65
28-Mar-06,4703.6,4732.3,4654.15,4660.65,6006168,261.2
29-Mar-06,4646.1,4687.55,4644.9,4680.5,4872659,236.46
30-Mar-06,4678.65,4709.1,4628.35,4638.45,10846128,457.14
31-Mar-06,4643.05,4706.15,4629.9,4661.5,10196049,391.06
03-Apr-06,4661.5,4731.95,4661.5,4724.05,7539076,278.57
04-Apr-06,4742.65,4836.95,4742.65,4824.65,12414576,531.17
05-Apr-06,4829.45,4895.9,4829.45,4873,10847926,402.84
